Temp = -40F + <T>/20
RH   = <H>/2

                               *        CCC TTTTTTTTTTTTHHHHHHHH 
1 77.9 22 11111111111010100010110011001000001001001101100010110111100010000
1 78.5 15 11111111111010100010110011001000001001010000100001111100000010000
1 78.4 15 11111111111010100010110011001000001001010000000001111110000100000
1 78.3 15 11111111111010100010110011001000001001001111100001111011011010000
1 78.2 15 11111111111010100010110011001000001001001111000001111001011100000
1 78.1 15 11111111111010100010110011001000001001001110100001111111010110000
1 77.9 15 11111111111010100010110011001000001001001101100001111010100000000
1 77.8 15 11111111111010100010110011001000001001001101000001111000100110000
1 81.5 98 11111111111010100010101011110000001001011111101100010111111110000
1 80.3 92 11111111111010100010101011110000001001011001101011100000010110000
1 80.3 88 11111111111010100010101011110000001001011001101011000010010110000
1 80.1 79 11111111111010100010101011110000001001011000101001111100011000000

8 80.0 70 11111111111010100010100111000011101001011000001000110001111100000
8 80.3 64 11111111111010100010100111000011101001011001101000000100110110000
8 80.3 58 11111111111010100010100111000011101001011001100111010101011000000
8 80.3 53 11111111111010100010100111000011101001011001100110101010111000000
8 80.4 49 11111111111010100010100000000011101001011010000110001101011010000

8 27.0 44 11111111111010100010101100010011101001011011000101100101110100000
8 27.1 38 11111111111010100010101100010011101001011100000100110110110110000

8 78.6 25 11111111111010100010100011101011101001010001000011001000110000000
8 78.8 28 11111111111010100010100011101011101001010010000011010100100110000
8 79.0 25 11111111111010100010100011101011101001010011000011001001001010000
8 79.1 25 11111111111010100010100011101011101001010011100011001011001100000
